"","source","listed_count","verified","user_created_at","statuses_count","followers_count","friends_count"
"177","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",48,FALSE,"Mon Jun 11 18:15:11 +0000 2012",105090,2495,4641
"178","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2,FALSE,"Fri Mar 28 08:42:19 +0000 2014",1638,2430,2679
"179","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,"Thu Aug 17 21:27:54 +0000 2017",1478,15,71
"180","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Mon Nov 27 20:00:09 +0000 2017",1193,40,116
"181","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Sun Nov 18 01:29:42 +0000 2012",10018,356,204
"182","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",1,FALSE,"Mon Dec 26 22:49:29 +0000 2016",16393,367,642
"183","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",356,FALSE,"Sat Dec 12 12:49:17 +0000 2009",74299,18548,15027
"184","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,"Fri Feb 20 13:56:11 +0000 2009",521,123,693
"185","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",4,FALSE,"Fri Jan 01 19:36:30 +0000 2016",66061,41,0
"186","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3,FALSE,"Wed Nov 25 02:51:05 +0000 2015",6976,846,1213
"187","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",26,FALSE,"Sun Feb 01 16:25:18 +0000 2009",42366,939,3891
"188","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Sun Nov 13 05:13:44 +0000 2016",3195,75,266
"189","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",17,FALSE,"Fri Aug 22 14:35:12 +0000 2014",59551,484,525
"190","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,FALSE,"Thu Jun 15 00:49:30 +0000 2017",533,79,347
"191","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",108,FALSE,"Thu Nov 27 09:52:01 +0000 2008",114959,506,39
"192","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,FALSE,"Thu Jul 21 22:34:44 +0000 2011",8580,252,888
"193","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",4,FALSE,"Wed Dec 30 08:18:44 +0000 2009",13686,230,164
"194","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",169,FALSE,"Wed Dec 14 13:40:46 +0000 2011",123060,3031,2659
"195","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3,FALSE,"Thu Mar 23 02:06:07 +0000 2017",9780,357,181
"196","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",5,FALSE,"Fri Nov 18 18:52:45 +0000 2016",23489,264,127
"197","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",53,FALSE,"Sun Nov 24 23:13:57 +0000 2013",69865,2752,3544
"198","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",135,FALSE,"Wed May 18 15:48:18 +0000 2011",44210,11493,11794
"199","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",32,FALSE,"Fri Aug 08 13:28:21 +0000 2014",25930,623,1013
"200","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,FALSE,"Mon Jun 26 06:45:17 +0000 2017",25090,747,1037
"201","<a href=""http://pbump.com"" rel=""nofollow"">TrumpsFeed</a>",557,FALSE,"Wed Aug 16 16:24:31 +0000 2017",80713,31143,0
"202","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",114,FALSE,"Fri Nov 29 14:17:33 +0000 2013",85941,1761,2860
"203","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",34,FALSE,"Tue Apr 28 12:37:35 +0000 2009",152501,1867,4975
