"","Url_linked","Mentions","RT","No_ofwords","Hashtags","No_ofchars","Comma","Exclamations"
"113",TRUE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"114",FALSE,TRUE,TRUE,"More than 18","One","Between 91 and 135",TRUE,FALSE
"115",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"116",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"117",TRUE,FALSE,FALSE,"Between 11 and 18","Zero","Between 91 and 135",FALSE,FALSE
"118",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"119",TRUE,TRUE,TRUE,"More than 18","One","Between 91 and 135",FALSE,FALSE
"120",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",TRUE,FALSE
"121",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"122",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"123",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"124",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"125",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"126",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"127",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",TRUE,FALSE
"128",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"129",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"130",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,TRUE
"131",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"132",FALSE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"133",TRUE,TRUE,TRUE,"More than 18","One","Between 91 and 135",FALSE,FALSE
"134",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"135",TRUE,TRUE,TRUE,"More than 18","One","More than 135",FALSE,FALSE
"136",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"137",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"138",TRUE,TRUE,TRUE,"Between 11 and 18","Zero","90 or lesser",FALSE,FALSE
"139",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"140",TRUE,FALSE,FALSE,"More than 18","Two or more","More than 135",FALSE,FALSE
"141",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"142",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",TRUE,FALSE
"143",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"144",TRUE,TRUE,TRUE,"More than 18","Two or more","More than 135",FALSE,FALSE
"145",TRUE,FALSE,FALSE,"More than 18","Zero","More than 135",TRUE,FALSE
"146",TRUE,TRUE,FALSE,"More than 18","Zero","More than 135",FALSE,FALSE
"147",TRUE,FALSE,FALSE,"More than 18","Zero","Between 91 and 135",TRUE,FALSE
"148",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"149",FALSE,TRUE,TRUE,"More than 18","Zero","More than 135",FALSE,FALSE
"150",FALSE,TRUE,FALSE,"Between 11 and 18","Zero","90 or lesser",TRUE,TRUE
