,Url_linked,Mentions,RT,No_ofwords,Hashtags,No_ofchars,Comma,Exclamations,Credibility
105,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
106,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
107,FALSE,FALSE,FALSE,Between 11 and 18,Two or more,Between 91 and 135,FALSE,FALSE,HC
108,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
109,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,HC
110,TRUE,TRUE,FALSE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,LC
111,FALSE,FALSE,FALSE,More than 18,One,More than 135,TRUE,FALSE,LC
112,TRUE,TRUE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,HC
113,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
114,FALSE,TRUE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,LC
115,FALSE,TRUE,FALSE,Less than or equal to 10,One,90 or lesser,FALSE,FALSE,HC
116,FALSE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
117,TRUE,FALSE,FALSE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,LC
118,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
119,FALSE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
120,TRUE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,HC
121,TRUE,FALSE,FALSE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,HC
122,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
123,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,NC
124,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,HC
125,TRUE,FALSE,FALSE,Less than or equal to 10,One,90 or lesser,FALSE,TRUE,LC
126,TRUE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,FALSE,NC
127,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,HC
128,TRUE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
129,TRUE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,TRUE,FALSE,LC
130,FALSE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
131,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
132,FALSE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
133,FALSE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
134,FALSE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
135,TRUE,FALSE,FALSE,Less than or equal to 10,One,90 or lesser,FALSE,FALSE,LC
136,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
137,FALSE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
138,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
139,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
140,TRUE,FALSE,FALSE,Between 11 and 18,Two or more,Between 91 and 135,FALSE,TRUE,NC
141,FALSE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,NC
142,TRUE,TRUE,FALSE,More than 18,One,Between 91 and 135,TRUE,TRUE,NC
143,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
144,TRUE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,NC
145,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
146,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,HC
147,TRUE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,FALSE,NC
148,FALSE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,TRUE,FALSE,LC
149,FALSE,TRUE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,HC
150,TRUE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,TRUE,LC
151,TRUE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,TRUE,LC
152,FALSE,TRUE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,LC
153,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
154,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,TRUE,FALSE,HC
155,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
156,FALSE,TRUE,FALSE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,LC
157,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,TRUE,NC
158,TRUE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,TRUE,FALSE,NC
159,FALSE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
160,FALSE,TRUE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,HC
161,FALSE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,HC
162,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
163,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,HC
164,TRUE,TRUE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,TRUE,LC
165,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,NC
166,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
167,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
168,TRUE,FALSE,FALSE,More than 18,One,Between 91 and 135,TRUE,FALSE,NC
169,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,HC
170,TRUE,FALSE,FALSE,Less than or equal to 10,One,90 or lesser,FALSE,FALSE,LC
171,TRUE,FALSE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,FALSE,LC
172,TRUE,FALSE,FALSE,More than 18,One,More than 135,TRUE,FALSE,LC
173,FALSE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,TRUE,FALSE,LC
174,FALSE,TRUE,TRUE,More than 18,Two or more,More than 135,FALSE,TRUE,HC
175,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
176,TRUE,FALSE,FALSE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,NC
177,TRUE,TRUE,TRUE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,HC
178,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
179,FALSE,FALSE,FALSE,More than 18,One,More than 135,FALSE,FALSE,HC
180,FALSE,TRUE,TRUE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,LC
181,FALSE,FALSE,FALSE,More than 18,Two or more,More than 135,TRUE,FALSE,HC
182,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,NC
183,FALSE,TRUE,FALSE,More than 18,One,Between 91 and 135,FALSE,FALSE,NC
184,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,HC
185,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,HC
186,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,HC
187,TRUE,TRUE,TRUE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,LC
188,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
189,TRUE,TRUE,FALSE,More than 18,Two or more,More than 135,FALSE,FALSE,HC
190,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,HC
191,TRUE,TRUE,TRUE,More than 18,Two or more,More than 135,FALSE,FALSE,LC
192,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,HC
193,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,TRUE,FALSE,HC
194,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,NC
195,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,LC
196,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
197,FALSE,TRUE,TRUE,More than 18,One,More than 135,TRUE,TRUE,LC
198,FALSE,TRUE,TRUE,More than 18,One,Between 91 and 135,FALSE,FALSE,HC
199,FALSE,TRUE,TRUE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
200,TRUE,TRUE,TRUE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,LC
201,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
202,FALSE,TRUE,TRUE,More than 18,Two or more,More than 135,FALSE,TRUE,NC
203,TRUE,FALSE,FALSE,Between 11 and 18,Two or more,Between 91 and 135,FALSE,FALSE,HC
204,FALSE,FALSE,FALSE,More than 18,One,More than 135,TRUE,FALSE,HC
205,FALSE,TRUE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,LC
206,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
207,FALSE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,FALSE,LC
208,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,LC
209,TRUE,FALSE,FALSE,Between 11 and 18,Zero,90 or lesser,FALSE,FALSE,HC
210,FALSE,TRUE,TRUE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,LC
211,FALSE,TRUE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,TRUE,HC
212,FALSE,TRUE,FALSE,Between 11 and 18,One,90 or lesser,FALSE,TRUE,HC
213,FALSE,TRUE,TRUE,Between 11 and 18,One,Between 91 and 135,FALSE,TRUE,LC
214,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,LC
215,TRUE,TRUE,TRUE,More than 18,Zero,Between 91 and 135,FALSE,FALSE,HC
216,FALSE,TRUE,TRUE,More than 18,One,More than 135,TRUE,FALSE,HC
217,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,HC
218,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
219,FALSE,TRUE,TRUE,More than 18,Two or more,More than 135,TRUE,FALSE,HC
220,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
221,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
222,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
223,TRUE,FALSE,FALSE,More than 18,One,More than 135,TRUE,FALSE,HC
224,FALSE,TRUE,TRUE,More than 18,One,More than 135,FALSE,FALSE,NC
225,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
226,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
227,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
228,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
229,TRUE,FALSE,FALSE,Between 11 and 18,Two or more,90 or lesser,FALSE,FALSE,HC
230,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
231,TRUE,TRUE,TRUE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
232,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
233,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
234,FALSE,TRUE,TRUE,More than 18,One,More than 135,TRUE,FALSE,LC
235,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
236,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
237,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,NC
238,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,TRUE,LC
239,FALSE,TRUE,TRUE,More than 18,One,More than 135,FALSE,FALSE,LC
240,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
241,TRUE,TRUE,TRUE,Between 11 and 18,Two or more,Between 91 and 135,FALSE,FALSE,HC
242,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
243,FALSE,TRUE,TRUE,Between 11 and 18,One,90 or lesser,FALSE,FALSE,HC
244,FALSE,TRUE,TRUE,Between 11 and 18,Zero,More than 135,FALSE,FALSE,NC
245,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,FALSE,FALSE,HC
246,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
247,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
248,FALSE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
249,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
250,FALSE,TRUE,FALSE,More than 18,Two or more,Between 91 and 135,FALSE,FALSE,LC
251,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
252,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
253,TRUE,TRUE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
254,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,HC
255,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,HC
256,TRUE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,HC
257,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
258,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,NC
259,FALSE,TRUE,TRUE,Between 11 and 18,One,Between 91 and 135,FALSE,FALSE,HC
260,FALSE,TRUE,TRUE,More than 18,Two or more,More than 135,TRUE,FALSE,LC
261,TRUE,FALSE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,TRUE,LC
262,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
263,TRUE,FALSE,FALSE,More than 18,One,More than 135,TRUE,FALSE,LC
264,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
265,TRUE,TRUE,FALSE,More than 18,Zero,Between 91 and 135,FALSE,TRUE,LC
266,TRUE,FALSE,FALSE,Between 11 and 18,Zero,Between 91 and 135,TRUE,FALSE,LC
267,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
268,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
269,TRUE,FALSE,FALSE,Less than or equal to 10,Zero,90 or lesser,FALSE,TRUE,NC
270,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
271,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
272,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,NC
273,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,TRUE,FALSE,LC
274,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,TRUE,NC
275,TRUE,TRUE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
276,FALSE,TRUE,TRUE,More than 18,Zero,More than 135,FALSE,FALSE,LC
277,FALSE,TRUE,FALSE,Between 11 and 18,Zero,90 or lesser,TRUE,FALSE,NC
278,TRUE,TRUE,FALSE,More than 18,Zero,More than 135,FALSE,FALSE,LC
279,TRUE,FALSE,FALSE,More than 18,Zero,More than 135,TRUE,FALSE,LC
280,TRUE,FALSE,FALSE,More than 18,Two or more,Between 91 and 135,TRUE,FALSE,LC
